parcelnum2,owner,address,scity,szip,usecode,usedesc,zoning,yearbuilt,numunits,parvaltype,improvval,landval,parval,saleprice,saledate,owntype,owner2,mailadd,careof,mail_addno,mail_addpr,mail_addst,mail_unit,mail_city,mail_state,mail_zip,saddno,saddpref,saddstr,sunit,address_so,legaldesc,census_tra,census_blo,recrdarean,sqft,lbcs_activ,lbcs_acti2,lbcs_funct,lbcs_func2,lbcs_struc,lbcs_stru2,lbcs_site,lbcs_site_,lbcs_owner,lbcs_owne2,apn,taxrateare,taxratecit,agencyclas,agencyname,agencytype,usecode_2,roll_year,roll_persp,roll_fixtu,roll_homeo,roll_reale,roll_pers2,roll_fixt2,roll_landb,roll_impba,spatialcha,parcelcrea,parceltype,assr_map,assr_index,qualitycla,qualitycl2,designtype,designtyp2,yearbuilt2,effectivey,effective2,bedrooms1,bathrooms1,units2,bedrooms2,bathrooms2,sqftmain2,tra,agency_num,land_roll_,imp_curren,tax_stat_k,year_sold_,hazard_cit,hazard_inf,partial_in,doc_reason,pp_key,pp_value,pp_exempti,fixture_va,num_howmow,homeowner_,real_estat,last_sale_,recording_,land_base_,imp_base_y,land_base2,imp_base_v,cluster_lo,cluster_ty,cluster_ap,land_reaso,impairment,ddt_amount,landlord_r,landlord_u,document_k,document_n,sale_two_a,sale_two_d,sale_three,sale_thre2,bd1_subpar,bd1_design,bd1_qualit,bd1_bedroo,bd1_baths,bd1_year_c,bd1_unit_c,bd1_rcn_ma,bd2_subpar,bd2_design,bd2_qualit,bd2_year_b,bd2_units,bd2_bedroo,bd2_baths,bd2_square,bd2_year_c,bd2_unit_c,bd2_rcn_ma,bd3_subpar,bd3_year_b,bd3_units,bd3_bedroo,bd3_baths,bd3_square,bd3_year_c,bd3_unit_c,bd3_rcn_ma,bd4_subpar,bd4_year_b,bd4_units,bd4_bedroo,bd4_baths,bd4_square,bd4_year_c,bd4_unit_c,bd4_rcn_ma,bd5_subpar,bd5_year_b,bd5_units,bd5_bedroo,bd5_baths,bd5_square,bd5_year_c,bd5_unit_c,bd5_rcn_ma,ll_gisacre,ll_gissqft,lat2,lon2,geometry
3008038033,"PEREZ,JONATHAN G",941 E AVENUE Q5,PALMDALE,93550-3822,0200,Residential Two Units,PDR4,1954,1,CURRENT,315353,55712,371065,399003,NA,3,NA,941 E AVENUE Q5,NA,00941,E,AVENUE Q5,NA,PALMDALE,CA,93550,941,E,AVENUE Q5,NA,county;accuzip,LICENSED SURVEYOR'S MAP AS PER BK 26 P48 OF L SLOTS 21 AND 22 BLK 2,06037910501,060379105011,698,698,1100,Household,1100,Private household,1202,Multifamily structures: Two Units,6000,Developed site with buildings,NA,NA,3008-038-033,06955,PALMDALE,NA,NA,NA,02,2020,0,0,0,0,0,0,2019,2019,NA,NA,0,3008-038,3008-NDX,D5A,D5A,0110,0110,1954,1960,1954,2,1,1,3,2,1120,06955,000000,2022,2022,0,0000,NA,0000000000,000,A,NA,0,0,0,0,0,0,1,NA,2019,2019,53000,300000,01,4,01,T,00000,399003,2019,1,1,0235671,0,NA,0,NA,0102,0110,D5A,2,1,1985,0,0,0202,0110,D5A,1954,1,3,2,1120,1984,0,0,0000,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0.27754,12095,34.582622,-118.112924,"list(list(c(-118.112758478483, -118.112924563988, -118.113092375256, -118.113088237968, -118.112920493967, -118.112756036922, -118.112758478483, 34.5827880034626, 34.5827883165676, 34.5827872539357, 34.5824563113095, 34.5824559553159, 34.5824570592549, 34.5827880034626)))"
3022017017,TRUE VINE GOSPEL CHURCH,917 E AVENUE Q,PALMDALE,93550-3894,7100,Institutional Churches,LCRA7000,1947,0,CURRENT,52054,46762,98816,355003,NA,3,NA,859 E AVENUE Q,NA,00859,E,AVENUE Q,NA,PALMDALE,CA,93550,917,E,AVENUE Q,NA,county;accuzip,TRACT NO 7670 THAT PART (EX OF ST) IN CONSOLIDATED SEWER MAINT DIST OF W 207 FT OF LOT 68,06037910101,060379101011,1498,1498,6600,"Social, cultural, or religious assembly",6600,Religious institutions,3500,"Churches, synagogues, temples, mosques, etc.",6000,Developed site with buildings,NA,NA,3022-017-017,07056,unincorporated,NA,NA,NA,71,2020,0,0,0,95887,0,0,2002,2002,NA,NA,0,3022-017,3022-NDX,DX,NA,7100,NA,NA,1947,NA,0,0,NA,NA,NA,NA,07056,000000,2022,2022,0,0000,NA,0000000000,000,A,NA,0,0,0,0,0,0,1,NA,2002,2002,33600,37400,24,6,15,T,00000,355003,1999,0,1,2178087,0,NA,0,NA,0101,7100,DX,0,0,1972,0,14980,0000,NA,NA,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0.56567,24652,34.587586,-118.113856,"list(list(c(-118.113520399539, -118.11351786438, -118.113946364688, -118.114193969032, -118.11419317893, -118.113520399539, 34.5874203245026, 34.5877541583544, 34.5877523118239, 34.5877512450659, 34.5874174143179, 34.5874203245026)))"
3022017018,TRUE VINE GOSPEL CHURCH,917 E AVENUE Q,PALMDALE,93550-3894,7100,Institutional Churches,LCR3,1969,1,CURRENT,92984,124440,217424,355003,NA,3,NA,859 E AVENUE Q,NA,00859,E,AVENUE Q,NA,PALMDALE,CA,93550,917,E,AVENUE Q,NA,county;accuzip,TRACT NO 7670 THAT PART OUTSIDE CONSOLIDATED SEWER MAINT DIST OF W 207 FT OF LOT 68,06037910101,060379101011,2672,2672,6600,"Social, cultural, or religious assembly",6600,Religious institutions,3500,"Churches, synagogues, temples, mosques, etc.",6000,Developed site with buildings,NA,NA,3022-017-018,07024,unincorporated,0,NA,NA,71,2020,0,0,0,138527,0,0,2002,2002,NA,NA,0,3022-017,3022-NDX,DX,NA,7100,NA,NA,1971,NA,0,0,NA,NA,NA,NA,07024,000000,2022,2022,0,0000,NA,0000000000,000,A,NA,0,0,0,0,0,0,1,NA,2002,2002,89400,66800,24,6,15,T,00000,355003,1999,0,1,2178087,0,NA,0,NA,0101,7100,DX,0,0,1982,0,0,0000,NA,NA,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,2.25384,98220,34.588413,-118.113855,"list(list(c(-118.11351786438, -118.113512756984, -118.113951331524, -118.114197199033, -118.114197587005, -118.114196554193, -118.11419640638, -118.114196775887, -118.114195525414, -118.114195914354, -118.114194698997, -118.114195107972, -118.114193865086, -118.114193969032, -118.113946364688, -118.11351786438, 34.5877541583544, 34.5890770688375, 34.5890690698255, 34.589064585385, 34.5889038329843, 34.5887458400283, 34.588728913657, 34.588586494313, 34.5884257485932, 34.5882732722407, 34.5881139003873, 
34.5879518066744, 34.5877965840345, 34.5877512450659, 34.5877523118239, 34.5877541583544)))"
3138018015,"WONG,SHIU CHIU AND",44824 YUCCA AVE,LANCASTER,93534-3205,3300,"Industrial Warehousing, Distribution, Storage",LRMU,1955,1,CURRENT,695640,375360,1071000,852008,NA,3,"HUANG,JINYONG",11033 FREER ST,NA,11033,NA,FREER ST,NA,TEMPLE CITY,CA,91780,44824,NA,YUCCA,NA,county;accuzip,LANCASTER LOTS 14 AND LOT 15 BLK 39,06037900606,060379006062,12170,12170,3120,Primarily goods storage or handling,3600,Warehouse and storage services,2700,Warehouse or storage facility,6000,Developed site with buildings,NA,NA,3138-018-015,04852,LANCASTER,NA,NA,NA,33,2020,0,0,0,0,0,0,2019,2019,NA,NA,0,3138-018,3138-NDX,C5B,NA,3300,NA,NA,1955,NA,0,0,NA,NA,NA,NA,04852,000000,2022,2022,0,0000,NA,0000000000,000,A,NA,0,0,0,0,0,0,1,NA,2021,2021,368000,682000,24,8,06,T,00000,852008,0,0,1,1395720,0,NA,0,NA,0101,3300,C5B,0,0,1972,0,49840,0000,NA,NA,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0.37286,16249,34.697866,-118.134564,"list(list(c(-118.134316500581, -118.134339428115, -118.134504218869, -118.134834764907, -118.134812169207, -118.134789338472, -118.134295201163, -118.134316500581, 34.6978919300842, 34.6980389655195, 34.6980218574176, 34.6979875845209, 34.6978405488096, 34.6976921394654, 34.6977435464387, 34.6978919300842)))"
3138011001,NASSAR GROUP ADVISORS LLC,401 W LANCASTER BLVD,LANCASTER,93534-2539,1100,Commercial Stores,LRC3,1957,0,CURRENT,277670,416508,694178,9,NA,3,NA,1820 S FLOYD CT,C/O RAYKA YOUSEF,01820,S,FLOYD CT,NA,LA HABRA,CA,90631,401,W,LANCASTER,NA,county;accuzip,LANCASTER LOT 1 BLK 34,06037900606,060379006062,2622,2622,2100,Shopping,2100,Retail sales or service,2200,Store or shop building,6000,Developed site with buildings,NA,NA,3138-011-001,04852,LANCASTER,NA,NA,NA,11,2020,0,0,0,0,0,0,2011,2011,NA,NA,0,3138-011,3138-NDX,D5,SX,1100,1100,1946,1957,1946,0,0,0,0,0,1764,04852,000000,2022,2022,0,0000,NA,0000000000,000,A,NA,0,0,0,0,0,0,1,NA,2011,2011,345000,230000,24,6,06,T,00000,9,0,0,1,0616724,0,NA,0,NA,0102,1100,D5,0,0,1970,0,0,0202,1100,SX,1946,0,0,0,1764,1970,0,0,0000,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0.17845,7777,34.698946,-118.135384,"list(list(c(-118.135274266196, -118.13534888668, -118.13549441959, -118.135415739865, -118.135274266196, 34.6987080849472, 34.6991959512151, 34.6991810064329, 34.6986934744969, 34.6987080849472)))"
3138018901,L A COUNTY,44720 YUCCA AVE,LANCASTER,93534-3203,8800,Government Government Parcel,LRMU,NA,0,CURRENT,0,9346,9346,0,NA,NA,NA,500 W TEMPLE ST RM 754,NA,00500,W,TEMPLE ST,RM 754,LOS ANGELES,CA,90012,44720,NA,YUCCA,NA,county;accuzip,LANCASTER LOT 17 BLK 40,06037900607,060379006071,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4120,"County, Parish, Province, etc.",3138-018-901,04852,LANCASTER,100370,L A County,LA County,88,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,3138-018,3138-NDX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04852,100370,2022,2022,3,0000,NA,0000000000,000,NA,NA,0,0,0,0,0,0,1,NA,1975,1975,7300,0,01,9,00,B,00000,0,0,0,0,0000000,0,NA,0,NA,0000,NA,NA,0,0,0,0,0,0000,NA,NA,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0.19582,8533,34.695660,-118.134225,"list(list(c(-118.133965518261, -118.133988890234, -118.13448401415, -118.134460441698, -118.133965518261, 34.6956082862743, 34.6957635096962, 34.6957121852828, 34.6955569896529, 34.6956082862743)))"
3138018017,J AND L CARRIER OPPORTUNITY ZONE FUND INC AND,44814 YUCCA AVE,LANCASTER,93534-3205,3300,"Industrial Warehousing, Distribution, Storage",LRMU,1965,0,CURRENT,227054,96708,323762,1620016,NA,3,HISTORIC LIBRARY LLC,21049 NASHVILLE ST,NA,21049,NA,NASHVILLE ST,NA,CHATSWORTH,CA,91311,44814,NA,YUCCA,NA,county;accuzip,LANCASTER LOT 18 BLK 39,06037900606,060379006062,5600,5600,3120,Primarily goods storage or handling,3600,Warehouse and storage services,2700,Warehouse or storage facility,6000,Developed site with buildings,NA,NA,3138-018-017,04852,LANCASTER,NA,NA,NA,33,2020,0,0,0,0,0,0,2019,2019,NA,NA,0,3138-018,3138-NDX,C5A,NA,3300,NA,NA,1965,NA,0,0,NA,NA,NA,NA,04852,000000,2022,2022,0,0000,NA,0000000000,000,A,NA,0,0,0,0,0,0,1,NA,2019,2019,92000,216000,24,8,06,T,00000,1620016,0,0,1,0144485,0,NA,0,NA,0101,3300,C5A,0,0,1972,0,31490,0000,NA,NA,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0.19754,8609,34.697275,-118.134474,"list(list(c(-118.134214945772, -118.134239052944, -118.134733753613, -118.13470987863, -118.134214945772, 34.6972227673332, 34.6973794461798, 34.6973279838508, 34.6971714422319, 34.6972227673332)))"
3138018016,J AND L CARRIER OPPORTUNITY ZONE FUND INC AND,44820 YUCCA AVE,LANCASTER,93534-3205,3300,"Industrial Warehousing, Distribution, Storage",LRMU,1953,1,CURRENT,464620,199723,664343,1620016,NA,3,HISTORIC LIBRARY LLC,21049 NASHVILLE ST,NA,21049,NA,NASHVILLE ST,NA,CHATSWORTH,CA,91311,44820,NA,YUCCA,NA,county;accuzip,LANCASTER LOTS 16 AND LOT 17 BLK 39,06037900606,060379006062,11400,11400,3120,Primarily goods storage or handling,3600,Warehouse and storage services,2700,Warehouse or storage facility,6000,Developed site with buildings,NA,NA,3138-018-016,04852,LANCASTER,NA,NA,NA,33,2020,0,0,0,0,0,0,2019,2019,NA,NA,0,3138-018,3138-NDX,C5A,NA,3300,NA,NA,1953,NA,0,0,NA,NA,NA,NA,04852,000000,2022,2022,0,0000,NA,0000000000,000,A,NA,0,0,0,0,0,0,1,NA,2019,2019,190000,442000,24,8,06,T,00000,1620016,0,0,1,0144485,0,NA,0,NA,0101,3300,C5A,0,0,1972,0,42020,0000,NA,NA,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0.39161,17066,34.697509,-118.134510,"list(list(c(-118.134262459197, -118.13428703006, -118.134781133786, -118.134757456265, -118.134733753613, -118.134239052944, -118.134262459197, 34.6975346694718, 34.6976899464275, 34.6976385395237, 34.6974833441106, 34.6973279838508, 34.6973794461798, 34.6975346694718)))"
3138012026,"TAFOLLA,FABIOLA AND PALACIOS,JOSE Y",118 W OVINGTON ST,LANCASTER,93534-3634,2700,Commercial Parking Lots (Commercial Use Properties),LRMU,1959,0,CURRENT,0,23099,23099,110001,NA,3,NA,5711 COLUMBIA WAY UNIT 221,NA,05711,NA,COLUMBIA WAY,UNIT 221,LANCASTER,CA,93536,118,W,OVINGTON,NA,county;accuzip,HERALD FIRST SUB LOT 8 BLK 3,06037900607,060379006071,2300,2300,5210,"Vehicular parking, storage, etc.",2000,General sales or services,5200,Automobile parking facilities,5000,Developed site with nonbuilding structures,NA,NA,3138-012-026,04901,LANCASTER,NA,NA,NA,27,2020,0,0,0,0,0,0,2014,2014,NA,NA,0,3138-012,3138-NDX,NA,NA,2700,NA,NA,1959,NA,0,0,NA,NA,NA,NA,04901,000000,2022,2022,0,0000,NA,0000000000,000,A,NA,0,0,0,0,0,0,1,NA,2014,2014,20000,0,24,6,06,T,00000,110001,0,0,1,1772256,0,NA,0,NA,0101,2700,NA,0,0,1972,0,0,0000,NA,NA,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0.05731,2497,34.691452,-118.131084,"list(list(c(-118.131043440357, -118.131126575255, -118.131126553588, -118.131125509881, -118.13104234251, -118.131043385436, -118.131043440357, 34.6915894944548, 34.6915896248174, 34.6915758859722, 34.691314876067, 34.6913150754717, 34.6915757556454, 34.6915894944548)))"
3134030005,"HADDAD,FARIS H AND FARHA F TRS HADDAD FAMILY TRUST",44435 SIERRA HWY,LANCASTER,93534-3530,2600,"Commercial Auto, Recreation EQPT, Construction EQPT, Sales & Service",LRC3,1951,0,CURRENT,29005,59175,88180,76000,NA,3,NA,17046 CANVAS ST,NA,17046,NA,CANVAS ST,NA,CANYON COUNTRY,CA,91387,44435,NA,SIERRA,NA,county;accuzip,LANCASTER CHAMBER OF COMMERCE SUB # 1 LOT 6 BLK A,06037900806,060379008061,1699,1699,2100,Shopping,2110,Automobile sales or service establishment,2280,Automobile repair and service structures,6000,Developed site with buildings,NA,NA,3134-030-005,04852,LANCASTER,NA,NA,NA,26,2020,0,0,0,0,0,0,2013,2013,NA,NA,0,3134-030,3134-NDX,DX,DX,2600,1100,1950,1951,1951,0,0,0,0,0,313,04852,000000,2022,2022,0,0000,NA,0000000000,000,A,NA,0,0,0,0,0,0,1,NA,2013,2013,51000,25000,24,6,06,T,00000,76000,0,0,1,0013856,0,NA,0,NA,0102,2600,DX,0,0,0,0,0,0202,1100,DX,1950,0,0,0,313,0,0,0,0000,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0000,0,0,0,0,0,0,0,0,0.20326,8858,34.690561,-118.136107,"list(list(c(-118.135846519386, -118.135872064669, -118.136367385369, -118.136341739074, -118.135846519386, 34.6905080121692, 34.6906686735171, 34.6906145658968, 34.6904537398972, 34.6905080121692)))"
